game_type,horizon_type,T,p,E_T,p_in_prompt,p_prompt,reasoning_mode,seed,player1,player2,round,answer1,answer2,points1,points2,total1,total2
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,1,J,J,8,8,8,8
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,2,J,J,8,8,16,16
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,3,J,J,8,8,24,24
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,4,J,J,8,8,32,32
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,5,J,J,8,8,40,40
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,6,J,J,8,8,48,48
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,7,J,J,8,8,56,56
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,8,J,J,8,8,64,64
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,9,J,J,8,8,72,72
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,10,J,J,8,8,80,80
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,11,J,J,8,8,88,88
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,12,J,J,8,8,96,96
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,13,J,J,8,8,104,104
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,14,J,J,8,8,112,112
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,15,J,J,8,8,120,120
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,16,J,J,8,8,128,128
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,17,J,J,8,8,136,136
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,18,J,J,8,8,144,144
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,19,J,J,8,8,152,152
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,20,J,J,8,8,160,160
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,21,J,J,8,8,168,168
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,22,J,J,8,8,176,176
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,23,J,J,8,8,184,184
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,24,J,J,8,8,192,192
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,25,J,J,8,8,200,200
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,26,J,J,8,8,208,208
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,27,J,J,8,8,216,216
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,28,J,J,8,8,224,224
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,29,J,J,8,8,232,232
PD,fixed,30,,,True,0.6,baseline,0,act_openai_gpt,act_kimi,30,J,J,8,8,240,240
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,1,F,J,10,0,10,0
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,2,J,J,8,8,18,8
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,3,J,J,8,8,26,16
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,4,F,J,10,0,36,16
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,5,F,J,10,0,46,16
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,6,F,J,10,0,56,16
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,7,F,J,10,0,66,16
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,8,F,J,10,0,76,16
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,9,F,J,10,0,86,16
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,10,F,J,10,0,96,16
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,11,F,J,10,0,106,16
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,12,J,J,8,8,114,24
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,13,J,J,8,8,122,32
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,14,F,J,10,0,132,32
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,15,F,J,10,0,142,32
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,16,F,J,10,0,152,32
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,17,F,J,10,0,162,32
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,18,F,J,10,0,172,32
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,19,F,J,10,0,182,32
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,20,F,J,10,0,192,32
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,21,F,J,10,0,202,32
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,22,F,J,10,0,212,32
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,23,F,J,10,0,222,32
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,24,F,J,10,0,232,32
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,25,F,J,10,0,242,32
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,26,F,F,5,5,247,37
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,27,J,F,0,10,247,47
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,28,F,J,10,0,257,47
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,29,F,J,10,0,267,47
PD,fixed,30,,,True,0.6,baseline,1,act_openai_gpt,act_kimi,30,F,J,10,0,277,47
PD,fixed,30,,,True,0.6,baseline,2,act_openai_gpt,act_kimi,1,J,J,8,8,8,8
PD,fixed,30,,,True,0.6,baseline,2,act_openai_gpt,act_kimi,2,J,J,8,8,16,16
PD,fixed,30,,,True,0.6,baseline,2,act_openai_gpt,act_kimi,3,J,J,8,8,24,24
PD,fixed,30,,,True,0.6,baseline,2,act_openai_gpt,act_kimi,4,J,J,8,8,32,32
PD,fixed,30,,,True,0.6,baseline,2,act_openai_gpt,act_kimi,5,J,J,8,8,40,40
PD,fixed,30,,,True,0.6,baseline,2,act_openai_gpt,act_kimi,6,J,J,8,8,48,48
PD,fixed,30,,,True,0.6,baseline,2,act_openai_gpt,act_kimi,7,J,J,8,8,56,56
PD,fixed,30,,,True,0.6,baseline,2,act_openai_gpt,act_kimi,8,J,J,8,8,64,64
PD,fixed,30,,,True,0.6,baseline,2,act_openai_gpt,act_kimi,9,J,J,8,8,72,72
PD,fixed,30,,,True,0.6,baseline,2,act_openai_gpt,act_kimi,10,J,J,8,8,80,80
PD,fixed,30,,,True,0.6,baseline,2,act_openai_gpt,act_kimi,11,J,J,8,8,88,88
PD,fixed,30,,,True,0.6,baseline,2,act_openai_gpt,act_kimi,12,J,J,8,8,96,96
PD,fixed,30,,,True,0.6,baseline,2,act_openai_gpt,act_kimi,13,J,J,8,8,104,104
PD,fixed,30,,,True,0.6,baseline,2,act_openai_gpt,act_kimi,14,J,J,8,8,112,112
PD,fixed,30,,,True,0.6,baseline,2,act_openai_gpt,act_kimi,15,J,J,8,8,120,120
PD,fixed,30,,,True,0.6,baseline,2,act_openai_gpt,act_kimi,16,J,J,8,8,128,128
PD,fixed,30,,,True,0.6,baseline,2,act_openai_gpt,act_kimi,17,J,J,8,8,136,136
PD,fixed,30,,,True,0.6,baseline,2,act_openai_gpt,act_kimi,18,J,J,8,8,144,144
PD,fixed,30,,,True,0.6,baseline,2,act_openai_gpt,act_kimi,19,J,J,8,8,152,152
PD,fixed,30,,,True,0.6,baseline,2,act_openai_gpt,act_kimi,20,J,J,8,8,160,160
PD,fixed,30,,,True,0.6,baseline,2,act_openai_gpt,act_kimi,21,J,J,8,8,168,168
PD,fixed,30,,,True,0.6,baseline,2,act_openai_gpt,act_kimi,22,J,J,8,8,176,176
PD,fixed,30,,,True,0.6,baseline,2,act_openai_gpt,act_kimi,23,J,J,8,8,184,184
PD,fixed,30,,,True,0.6,baseline,2,act_openai_gpt,act_kimi,24,J,J,8,8,192,192
PD,fixed,30,,,True,0.6,baseline,2,act_openai_gpt,act_kimi,25,J,J,8,8,200,200
PD,fixed,30,,,True,0.6,baseline,2,act_openai_gpt,act_kimi,26,J,J,8,8,208,208
