match_id,game_type,horizon_type,path,L_window,reasoning_mode,seed,max_round,player1,player2,round,p_now,p_in_prompt,answer1,answer2,points1,points2,total1,total2
exp3-BoS-down-baseline-seed0-rep0,BoS,continuation_dynamic,down,5,baseline,0,200,act_deepseek,act_openai_gpt,1,1.0,1,J,F,0,0,0,0
exp3-BoS-down-baseline-seed0-rep0,BoS,continuation_dynamic,down,5,baseline,0,200,act_deepseek,act_openai_gpt,2,0.9974874371859297,1,F,F,7,10,7,10
exp3-BoS-down-baseline-seed0-rep0,BoS,continuation_dynamic,down,5,baseline,0,200,act_deepseek,act_openai_gpt,3,0.9949748743718593,1,F,F,7,10,14,20
exp3-BoS-down-baseline-seed0-rep0,BoS,continuation_dynamic,down,5,baseline,0,200,act_deepseek,act_openai_gpt,4,0.992462311557789,1,F,F,7,10,21,30
exp3-BoS-down-baseline-seed0-rep0,BoS,continuation_dynamic,down,5,baseline,0,200,act_deepseek,act_openai_gpt,5,0.9899497487437185,1,F,F,7,10,28,40
exp3-BoS-down-baseline-seed0-rep0,BoS,continuation_dynamic,down,5,baseline,0,200,act_deepseek,act_openai_gpt,6,0.9874371859296482,1,F,F,7,10,35,50
exp3-BoS-down-baseline-seed0-rep0,BoS,continuation_dynamic,down,5,baseline,0,200,act_deepseek,act_openai_gpt,7,0.9849246231155779,1,F,F,7,10,42,60
exp3-BoS-down-baseline-seed0-rep0,BoS,continuation_dynamic,down,5,baseline,0,200,act_deepseek,act_openai_gpt,8,0.9824120603015075,1,F,F,7,10,49,70
exp3-BoS-down-baseline-seed0-rep0,BoS,continuation_dynamic,down,5,baseline,0,200,act_deepseek,act_openai_gpt,9,0.9798994974874372,1,F,F,7,10,56,80
exp3-BoS-down-baseline-seed0-rep0,BoS,continuation_dynamic,down,5,baseline,0,200,act_deepseek,act_openai_gpt,10,0.9773869346733668,1,F,F,7,10,63,90
exp3-BoS-down-baseline-seed0-rep0,BoS,continuation_dynamic,down,5,baseline,0,200,act_deepseek,act_openai_gpt,11,0.9748743718592965,1,F,F,7,10,70,100
exp3-BoS-down-baseline-seed0-rep0,BoS,continuation_dynamic,down,5,baseline,0,200,act_deepseek,act_openai_gpt,12,0.9723618090452262,1,F,F,7,10,77,110
exp3-BoS-down-baseline-seed0-rep0,BoS,continuation_dynamic,down,5,baseline,0,200,act_deepseek,act_openai_gpt,13,0.9698492462311558,1,F,F,7,10,84,120
exp3-BoS-down-baseline-seed0-rep0,BoS,continuation_dynamic,down,5,baseline,0,200,act_deepseek,act_openai_gpt,14,0.9673366834170855,1,F,F,7,10,91,130
exp3-BoS-down-baseline-seed0-rep0,BoS,continuation_dynamic,down,5,baseline,0,200,act_deepseek,act_openai_gpt,15,0.964824120603015,1,F,F,7,10,98,140
exp3-BoS-down-baseline-seed0-rep0,BoS,continuation_dynamic,down,5,baseline,0,200,act_deepseek,act_openai_gpt,16,0.9623115577889447,1,F,F,7,10,105,150
exp3-BoS-down-baseline-seed0-rep0,BoS,continuation_dynamic,down,5,baseline,0,200,act_deepseek,act_openai_gpt,17,0.9597989949748744,1,F,F,7,10,112,160
exp3-BoS-down-baseline-seed0-rep0,BoS,continuation_dynamic,down,5,baseline,0,200,act_deepseek,act_openai_gpt,18,0.957286432160804,1,F,F,7,10,119,170
exp3-BoS-down-baseline-seed2-rep0,BoS,continuation_dynamic,down,5,baseline,2,200,act_deepseek,act_openai_gpt,1,1.0,1,J,F,0,0,0,0
exp3-BoS-down-baseline-seed2-rep0,BoS,continuation_dynamic,down,5,baseline,2,200,act_deepseek,act_openai_gpt,2,0.9974874371859297,1,F,F,7,10,7,10
exp3-BoS-down-baseline-seed2-rep0,BoS,continuation_dynamic,down,5,baseline,2,200,act_deepseek,act_openai_gpt,3,0.9949748743718593,1,F,F,7,10,14,20
exp3-BoS-down-baseline-seed2-rep0,BoS,continuation_dynamic,down,5,baseline,2,200,act_deepseek,act_openai_gpt,4,0.992462311557789,1,F,F,7,10,21,30
exp3-BoS-down-baseline-seed2-rep0,BoS,continuation_dynamic,down,5,baseline,2,200,act_deepseek,act_openai_gpt,5,0.9899497487437185,1,F,F,7,10,28,40
exp3-BoS-down-baseline-seed2-rep0,BoS,continuation_dynamic,down,5,baseline,2,200,act_deepseek,act_openai_gpt,6,0.9874371859296482,1,F,F,7,10,35,50
exp3-BoS-down-baseline-seed2-rep0,BoS,continuation_dynamic,down,5,baseline,2,200,act_deepseek,act_openai_gpt,7,0.9849246231155779,1,F,F,7,10,42,60
exp3-BoS-down-baseline-seed2-rep0,BoS,continuation_dynamic,down,5,baseline,2,200,act_deepseek,act_openai_gpt,8,0.9824120603015075,1,F,F,7,10,49,70
exp3-BoS-down-baseline-seed2-rep0,BoS,continuation_dynamic,down,5,baseline,2,200,act_deepseek,act_openai_gpt,9,0.9798994974874372,1,F,F,7,10,56,80
exp3-BoS-down-baseline-seed2-rep0,BoS,continuation_dynamic,down,5,baseline,2,200,act_deepseek,act_openai_gpt,10,0.9773869346733668,1,F,F,7,10,63,90
exp3-BoS-down-baseline-seed2-rep0,BoS,continuation_dynamic,down,5,baseline,2,200,act_deepseek,act_openai_gpt,11,0.9748743718592965,1,F,F,7,10,70,100
exp3-BoS-down-baseline-seed2-rep0,BoS,continuation_dynamic,down,5,baseline,2,200,act_deepseek,act_openai_gpt,12,0.9723618090452262,1,F,F,7,10,77,110
exp3-BoS-down-baseline-seed2-rep0,BoS,continuation_dynamic,down,5,baseline,2,200,act_deepseek,act_openai_gpt,13,0.9698492462311558,1,F,F,7,10,84,120
exp3-BoS-down-baseline-seed2-rep0,BoS,continuation_dynamic,down,5,baseline,2,200,act_deepseek,act_openai_gpt,14,0.9673366834170855,1,F,F,7,10,91,130
